TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
PAP,Haiti,RUBIS-A/RUBIS EASTERN CARIBBEAN SRL/TRUCK,1,5.16949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 2 hours prior notice required. 2) Ramps serviced: All ramps. 3) Additional Information: None Required. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
LCE,Honduras,UNO AVIATION SA-A/UNO HONDURAS SA DE CV/,1,3.09949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 12 hours prior notice 2) Ramps serviced: Access to all ramps 3) Additional Information: None Required For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
RTB,Honduras,UNO AVIATION SA-A/UNO HONDURAS SA DE CV/,1,3.21949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 12 hrs prior notice 2) Ramps serviced: Access to all ramps 3) Additional Information: NoneRequired For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
SAP,Honduras,UNO AVIATION SA-A/UNO HONDURAS SA DE CV/,1,2.97949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 12 hours prior notice 2) Ramps serviced: Access to all ramps 3) Additional Information: NoneRequired For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
TGU,Honduras,UNO AVIATION SA-A/UNO HONDURAS SA DE CV/,1,2.95949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 12 hrs prior notice 2) Ramps serviced: Access to all ramps 3) Additional Information: NoneRequired For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
HKG,Hong Kong,HONG KONG BUSINESS AVIATION CENTRE-A/HONG KONG BUSINESS AVIATION CENTRE LTD/,1,4.17599,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:No 2) Ramps serviced:Corporate Ramps only 3) Additional Information: No for more information please contact your local fuel logistics team on fuel24@wfscorp.com,04-Jul-19
HKG,Hong Kong,HONG KONG BUSINESS AVIATION CENTRE-A/HONG KONG BUSINESS AVIATION CENTRE LTD/,7001,3.46599,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:No 2) Ramps serviced:Corporate Ramps only 3) Additional Information: No for more information please contact your local fuel logistics team on fuel24@wfscorp.com,04-Jul-19
HKG,Hong Kong,HONG KONG BUSINESS AVIATION CENTRE-A/HONG KONG BUSINESS AVIATION CENTRE LTD/,15000,3.20599,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:No 2) Ramps serviced:Corporate Ramps only 3) Additional Information: No for more information please contact your local fuel logistics team on fuel24@wfscorp.com,04-Jul-19
HKG,Hong Kong,HONG KONG BUSINESS AVIATION CENTRE-A/HONG KONG BUSINESS AVIATION CENTRE LTD/,30000,2.94599,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:No 2) Ramps serviced:Corporate Ramps only 3) Additional Information: No for more information please contact your local fuel logistics team on fuel24@wfscorp.com,04-Jul-19
BUD,Hungary,AFS AIRPORT FUEL SUPPLY-A/AFS AIRPORT FUEL SUPPLY LLC./,1,2.89793,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 2) Ramps serviced: 3) Additional Information: Small load fee( Only International Commercial flights can be VAT & Excise tax exempt For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
DEB,Hungary,TOTAL HUNGARIA KFT/AIR TOTAL INTERNATIONAL/,1,3.58039,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Information: EXCISE DUTY: 124.2 HUF/LITER for inland & non COMM flights No service fee: 100 USD/uplift Low uplift fee < 1000 liters: 50 USD/Uplift Only international commercial flights can be invoiced without VAT and excise tax Fees and charges are subject to change without prior notice. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,05-Aug-19
SOB,Hungary,HEVIZ-BALATON AIRPORT KFT-A/HEVIZ-BALATON AIRPORT KFT/,1,3.16349,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 2) Ramps serviced: 3) Additional Information: Open between 0700 and 1600UTC, (during winter operation 0800-1500) all exceptions are published by the current NOTAMs For more information please contact your local fuel logistics team on fuel24@wfscorp.com",31-Jul-19
AEY,Iceland,SKELJUNGUR HL-A/SKELJUNGUR HF/,1,3.54751,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",V.A.T. applicable to Domestic flights Fees and charges are subject to change without prior notice. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
EGS,Iceland,SKELJUNGUR HL-A/SKELJUNGUR HF/,1,4.01251,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
HFN,Iceland,SKELJUNGUR HL-A/SKELJUNGUR HF/,1,3.74751,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Minimum Notice Required:At least 24 hrs prior fueling / FUELLING OUT OF HOURS needs to be communicated with the ITP-service at latest at the last working day prior fueling For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
IFJ,Iceland,SKELJUNGUR HL-A/SKELJUNGUR HF/,1,3.74751,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,31-Jul-19
KEF,Iceland,E.A.K.-A/N1 HF/HYDRANT,1,2.55819,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","An additional fee for truck uplifts will apply when aircrafts are assigned by airport to a stand or position that has no HYDRANT and a TRUCK is necessary. Please be advised that WFS and the supplier cannot control where the aircraft will be positioned. TRUCK fee could apply especially during peak season or time BH 09Mar16 The airport fee charged will depend on how the customer is refueled; hydrant/dispenser airport fee or tank truck airport fee (higher rate). If sales order is setup under hydrant and customer ends up being refueled via truck, then the truck airport fee will be invoiced.JCG19MAR18 V.A.T. of 24.50% is only applicable to Domestic flights",31-Jul-19
KEF,Iceland,E.A.K.-A/N1 HF/TRUCK,1,2.55819,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","An additional fee for truck uplifts will apply when aircrafts are assigned by airport to a stand or position that has no HYDRANT and a TRUCK is necessary. Please be advised that WFS and the supplier cannot control where the aircraft will be positioned. TRUCK fee could apply especially during peak season or time BH 09Mar16 The airport fee charged will depend on how the customer is refueled; hydrant/dispenser airport fee or tank truck airport fee (higher rate). If sales order is setup under hydrant and customer ends up being refueled via truck, then the truck airport fee will be invoiced.JCG19MAR18 V.A.T. of 24.50% is only applicable to Domestic flights",31-Jul-19
RKV,Iceland,N1 HF-A/N1 HF/HYDRANT,1,2.85239,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
RKV,Iceland,N1 HF-A/N1 HF/TRUCK,1,2.85239,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,31-Jul-19
300,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.39819,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: N/A 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
429,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.35934,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 Hours 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircraft registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Govt. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
429,India,INDIAN OIL CORPORATION-NON ICAO-A/INDIAN OIL CORPORATION LTD/,1,4.16108,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
641,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.34779,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Not appplicable 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
786,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.53927,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
786,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,4.08706,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
892,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.46119,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 Hours 2) Ramps serviced: All ramps 3) Additional Information: (a) Sales Tax of 4% is applicable to aircrafts with a maximum take-off mass of less than 40,000KG operated by scheduled airlines. (b) Sales Tax is not applicable to commercial international flights of: (i) Foreign International Airlines operating from those countries who are party to the 1944 ICAO convention (ii) Designated airlines of countries who have entered into Air Service Agreement with India. (iii) However, provision of convention on International Civil Aviation do not apply to State aircraft i.e. the aircraft used in military, government, Customs & Police Services. (iv) Sales Tax is also not applicable to foreign flights of designated Indian carriers - Air India, Indian Airlines, Jet Airways, JetLite and Kingfisher Airlines only. (All other Indian carriers will be charged sales tax regardless that India has signed the 1944 ICAO convention) 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com",31-Jul-19
892,India,INDIAN OIL CORPORATION-NON ICAO-A/INDIAN OIL CORPORATION LTD/,1,4.20249,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: (a) Sales Tax of 4% is applicable to aircrafts with a maximum take-off mass of less than 40,000KG operated by scheduled airlines. (b) Sales Tax is not applicable to commercial international flights of: (i) Foreign International Airlines operating from those countries who are party to the 1944 ICAO convention (ii) Designated airlines of countries who have entered into Air Service Agreement with India. (iii) However, provision of convention on International Civil Aviation do not apply to State aircraft i.e. the aircraft used in military, government, Customs & Police Services. (iv) Sales Tax is also not applicable to foreign flights of designated Indian carriers - Air India, Indian Airlines, Jet Airways, JetLite and Kingfisher Airlines only. (All other Indian carriers will be charged sales tax regardless that India has signed the 1944 ICAO convention) 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com",31-Jul-19
939,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.65244,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: This is a military airport. All commercial flights please use VOBL. (a) WEF 11 May 2007, Sales Tax of 4% is applicable to aircrafts with a maximum take-off mass of less than 40,000KG operated by scheduled airlines. (b) Sales Tax is not applicable to commercial international flights of: (i) Foreign International Airlines operating from those countries who are party to the 1944 ICAO convention (ii) Designated airlines of countries who have entered into Air Service Agreement with India. (iii) However, provision of convention on International Civil Aviation do not apply to State aircraft i.e. the aircraft used in military, government, Customs & Police Services. (iv) Sales Tax is also not applicable to foreign flights of designated Indian carriers - Air India, Indian Airlines, Jet Airways, JetLite and Kingfisher Airlines only. (All other Indian carriers will be charged sales tax regardless that India has signed the 1944 ICAO convention) 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com",31-Jul-19
939,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,4.17813,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: This is a military airport. All commercial flights please use VOBL 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
958,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.39084,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Not appplicable 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
966,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.44544,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircraft registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Govt. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
988,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.52944,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: (a) This is an Indian Military Airbase. (b) Customers are required to contact Indian Airforce Hindon for authorisation prior to WFS fuel release being accepted. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
988,India,INDIAN OIL CORPORATION-NON ICAO-A/INDIAN OIL CORPORATION LTD/,1,4.16646,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
991,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.44544,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
AGR,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.48484,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircrafts registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Govt 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
AGR,India,INDIAN OIL CORPORATION-NON ICAO-A/INDIAN OIL CORPORATION LTD/,1,4.08835,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",N/A,31-Jul-19
AMD,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.46426,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircraft registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Government. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
AMD,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.2222,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: Not applicable 2) Ramps serviced: All ramps 3) Additional Information: Not applicable 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
ATQ,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.23959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
ATQ,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.23959,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircraft registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Govt. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
ATQ,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.55021,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
ATQ,India,INDIAN OIL CORPORATION-NON ICAO-A/INDIAN OIL CORPORATION LTD/,1,3.8514,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Not appplicable 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BBI,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.48642,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
