"TIA","Albania","AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/",1,4.18233,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Please note that the only card BP accept is their own Sterling Card therefor please pre-arrange fuel.///VAT applies for domestic flights. Able to access the military apron","15-JAN-2019"
"ANU","Antigua and Barbuda","IAM CARIBBEAN INC-A/IAM CARIBBEAN INC/",1,4.93499,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:Not during regular working hours 2) Ramps serviced:All ramps 3) Additional Information: N/A for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"400","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.33228,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"504","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.92789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"603","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"654","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.3861,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"953","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.6511,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"AEP","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.29728,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"AEP","Argentina","ESSO-A/PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA/",1,2.87666,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: '1) Minimum Notice Required: Export License Fee of $786.50 USD will apply to all fuel requests regardless of fuel consumption. Charge will apply once Sales Order is generated and sent to Supplier even if no fuel is uplifted. Fee will be charged again if any change is done to the SO. ESSO not able to supply within the following time frame: 07:00 PM - 01:00 AM Local Time or 22:00 - 03:00 (+1) UTC Supplier requires 48 hours prior notice to guarantee fuel. Supply must be confirmed 48 working hours prior to delivery in order to allow supplier to fulfill Customs paperwork required. 2) Ramps serviced:ALL RAMPS 3) Additional Information: Weekend requests must be sent Friday before 1200 noon local/ 1500 utc. This applies to fuel requests with Open Fuel Authorization in place. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"AFA","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"BHI","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.43225,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"BRC","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.78578,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"CNQ","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"COC","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.3861,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"COR","Argentina","ESSO-A/PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA/",1,2.92366,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: '1) Minimum Notice Required: Export License Fee of $786.50 USD will apply to all fuel requests regardless of fuel consumption. Charge will apply once Sales Order is generated and sent to Supplier even if no fuel is uplifted. Fee will be charged again if any change is done to the SO. ESSO not able to supply within the following time frame: 07:00 PM - 01:00 AM Local Time or 22:00 - 03:00 (+1) UTC Supplier requires 48 hours prior notice to guarantee fuel. Supply must be confirmed 48 working hours prior to delivery in order to allow supplier to fulfill Customs paperwork required. 2) Ramps serviced:ALL RAMPS 3) Additional Information: Weekend requests must be sent Friday before 1200 noon local/ 1500 utc. This applies to fuel requests with Open Fuel Authorization in place. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"COR","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.43225,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"CPC","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"CRD","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.53328,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"CTC","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"DOT","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.33228,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"EPA","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.39478,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"EQS","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"EZE","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.22231,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"EZE","Argentina","ESSO-A/PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA/",1,2.78366,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: '1) Minimum Notice Required: Export License Fee of $786.50 USD will apply to all fuel requests regardless of fuel consumption. Charge will apply once Sales Order is generated and sent to Supplier even if no fuel is uplifted. Fee will be charged again if any change is done to the SO. ESSO not able to supply within the following time frame: 07:00 PM - 01:00 AM Local Time or 22:00 - 03:00 (+1) UTC Supplier requires 48 hours prior notice to guarantee fuel. Supply must be confirmed 48 working hours prior to delivery in order to allow supplier to fulfill Customs paperwork required. 2) Ramps serviced:ALL RAMPS 3) Additional Information: Weekend requests must be sent Friday before 1200 noon local/ 1500 utc. This applies to fuel requests with Open Fuel Authorization in place. for more information please contact your local fuel logistics team on fuel24@wfscorp.com","21-JAN-2019"
"FDO","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.40728,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"FMA","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.73578,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"FTE","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.7205,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: Important: Please note that at this location Y.P.F. charges the rancho fee ( around $6000 USD as per confirmation from Bent W) for International flights. PLEASE MAKE SURE the customer agrees with the amount before setting up fuel releases NU01/03/2018 for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"GPO","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.43225,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"IGR","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.48578,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"IRJ","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"JNI","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.3861,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"JUJ","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.58328,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"LGS","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"LPG","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.33228,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"LUQ","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.69725,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"MDZ","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.48578,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"NQN","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"PMY","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.47078,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"PRA","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.3861,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"PSS","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.73578,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
"QCD","Argentina","Y.P.F.-A/YACIMIENTOS PETROLIFEROS/",1,3.66289,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Public Comments: 1) Minimum Notice Required:48 BUSINESS HOURS ADVANCE NOTICE OR NO FUEL 2) Ramps serviced:All ramps 3) Additional Information: All State and Municipal taxes will apply regardless of destination.  for more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-JAN-2019"
